,社名,タイトル,内容
25,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1企業,対象となる方,【男性多数活躍中】「地道な作業が好き」「作業をすると自分の世界に入って時間を忘れてしまう」そんな方はぜひご応募を！★学歴・経験不問
26,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1企業,勤務地,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ <勤務地一覧> ■北海道 ■東北・北陸…
27,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1企業,給与,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
28,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／基本土日休み／業界No.1企業,初年度年収,300万円～500万円
29,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,仕事内容,《1～2時間の短距離中心！夜勤なし♪》ビッグモーターで修理・整備するクルマの引取り／納車などをお任せします。
30,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,対象となる方,《必要なのは免許だけ！！》＼車を仕事にしたい方はぜひ♪未経験・第二新卒歓迎！ブランク・転職回数・学歴などは不問♪／ ★月8～10日休み
31,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,勤務地,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
32,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,給与,月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…
33,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,初年度年収,300万円～700万円
34,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,仕事内容,収入が大切！という方に見てほしい案件・社宅完備の案件多数！製造工場で部品の組立/検品/梱包/在庫管理等を担当！
35,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,対象となる方,《履歴書・職務経歴書不要です！》未経験や社会人デビュー、ブランクのある方も大歓迎！未経験から「がっつり稼ぎたい」を応援します★
36,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,勤務地,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
37,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,給与,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
38,株式会社ビッグモーター | 業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,初年度年収,300万円～500万円
39,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,仕事内容,【100％内勤です♪】クルマのキズや凹みの修理に関する受付やデータ入力、電話対応などをお任せ！※クルマの知識は働きながら得られるので安心♪
40,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,対象となる方,【未経験／第二新卒歓迎♪】「事務デビューしたい！」「大手企業で働きたい」方の挑戦も歓迎♪☆20～30代の女性活躍中！☆産・育休取得実績も多数！
41,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,勤務地,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
42,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,給与,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
43,三井住友トラスト不動産株式会社 | 三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,初年度年収,300万円～550万円
44,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,仕事内容,《経験やスキルに合わせて業務をお任せしていきます！》個人または法人のお客様に対し、土地・ビル・住宅など、あらゆる不動産の売買仲介を行います。
45,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,対象となる方,《人柄・意欲重視の採用です！／学歴不問》◇不動産・住宅業界での営業経験がある方歓、宅建資格をお持ちの方は歓迎！
46,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,勤務地,★U・Iターン歓迎！ ★転居を伴う異動なし！ 《首都圏の各営業所》 ※居住地・希望を考慮の上決定し…
47,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,給与,月給24万5000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※給与は年2回の見直しがあり…
48,東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,初年度年収,350万円～750万円
49,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,仕事内容,【平均年収819万円！】使っていない土地の活用方法で悩んでいる地域のお客様を訪問して、アパートや賃貸マンションの経営などを提案します。
50,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,対象となる方,【業界・営業未経験者歓迎】◆高卒以上　◆要普免（AT限定可）※接客・販売職出身の先輩多数！※多くの人と接することで得た会話力を活かせます
51,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,勤務地,◆関西エリアの各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の…
52,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,給与,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
53,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,初年度年収,400万円～800万円
54,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,仕事内容,【テレアポ・飛び込みナシ】お問い合わせに対応する完全反響型の戸建住宅営業。希望や適性に応じて、分譲住宅／注文住宅のいずれかをお任せします。
55,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,対象となる方,【未経験大歓迎】★前職・経験一切不問 ●要普免 ☆何らかの営業経験、接客・販売の経験がある方は大歓迎 ☆住宅や不動産業界の経験があれば尚可
56,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,勤務地,"【全国募集】 ★千葉、茨城、東京、愛知、九州で積極採用を実施中★ [宮城県]仙台 [福島県]郡山,…"
57,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,給与,【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
58,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,仕事内容,【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪
59,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,対象となる方,【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK
60,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,勤務地,転勤なし/全国に勤務地あり/勤務地は希望考慮/マイカー通勤OK 東北（宮城県） 関東（東京都・神奈…
61,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,給与,"【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…"
62,株式会社ビッグモーター | 業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,初年度年収,300万円～550万円
63,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,仕事内容,【100%反響スタイル＆ノルマなし】ご来店されたお客さまに「欲しいクルマ」を伺い、約5万台の在庫からピッタリなクルマをご提案する仕事です。
64,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,対象となる方,★第二新卒特別特集参画中★【未経験歓迎／男女ともに活躍中！】◆40歳以下★収入UPしたい方★プライベートも大切にしたい方★好きな街で働きたい方
65,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,勤務地,全国約300店舗/転勤なし/マイカー通勤OK 勤務地は希望を最大限考慮 ■北海道 ■岩手県/宮城県…
66,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,給与,月給22万8600円〜70万円(一律手当含む)＋インセンティブ＋賞与年2回+諸手当 ※年齢・能力を考慮のうえ、…
67,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,初年度年収,330万円～1500万円
68,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／年内入社も可能,仕事内容,【充実の研修で安心♪】★「売る」のではなく「興味を持っていただく」仕事 ★大手メーカーのエコ製品のPRをお任せ【ノルマも残業もありません！】
69,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／年内入社も可能,対象となる方,【面接保証・何よりも人柄を重視♪】◆45歳以下の方 ◆学歴・経験不問 ◆人と話すのが好きな方 ★先輩のほぼ全員が未経験スタート！
